"Variable","Category","N","PCS_mean","PCS_lower","PCS_upper","PCS_p","MCS_mean","MCS_lower","MCS_upper","MCS_p"
"Gender","Male",451,43.2,42.2,44.2,"0.044",48.3,47.6,49,"0.121"
"","Female",136,40.9,38.9,42.9,"",47,45.5,48.4,""
"Age group","<70 years",199,43.9,42.4,45.5,"0.001",47.2,46,48.4,"0.360"
"","70 to 79 years",267,43.2,41.9,44.4,"",48.7,47.8,49.5,""
"",">=80 years",121,39.6,37.7,41.4,"",47.7,46.2,49.2,""
"Marital status","Married",441,43.5,42.5,44.5,"0.004",48.3,47.6,49,"0.136"
"","Unmarried",146,40.3,38.4,42.1,"",47,45.6,48.5,""
"Residence area","Urban",428,42.5,41.4,43.6,"0.524",48.3,47.5,49,"0.133"
"","Rural",159,43.1,41.5,44.8,"",47.1,45.8,48.4,""
"State of general practice","South Australia",329,42.5,41.3,43.7,"0.625",48.2,47.4,49,"0.439"
"","Queensland",258,42.9,41.6,44.2,"",47.7,46.7,48.7,""
"Attained educational level","Degree or higher",64,44,41.4,46.6,"0.072",48.6,46.7,50.5,"0.019"
"","Certificate to advanced diploma",221,43.1,41.6,44.6,"",48.7,47.7,49.8,""
"","Secondary",239,42.5,41.1,43.9,"",47.5,46.5,48.5,""
"","No schooling to primary",63,40.5,38,43.1,"",46.2,44.1,48.3,""
"Working status","Employed full or part time",93,47.6,45.6,49.6,"<0.001",47.8,46.3,49.4,"0.094"
"","Retired",126,44,42.3,45.7,"",49.3,48.2,50.4,""
"","Pensioner",368,41,39.8,42.1,"",47.5,46.7,48.4,""
"Perceived economic situation","Very high to higher",100,45.2,43.2,47.2,"<0.001",49,47.5,50.4,"0.023"
"","Similar to other people",367,43.1,42,44.2,"",48.1,47.3,48.9,""
"","Lower to very low",120,39.3,37.2,41.3,"",46.6,45,48.2,""
"Economic position (quintiles)","Highest",137,44.2,42.5,45.9,"0.040",47.8,46.5,49,"0.477"
"","High",182,42.7,41.2,44.3,"",48.4,47.3,49.5,""
"","Middle",90,42.3,39.8,44.7,"",48.9,47.5,50.3,""
"","Low",178,41.6,40,43.2,"",47.2,45.9,48.5,""
"History of revascularization procedure","No",163,40.8,39.1,42.4,"0.009",47.4,46.2,48.6,"0.292"
"","Yes",424,43.4,42.4,44.4,"",48.2,47.4,48.9,""
"Time since first ischaemic episode","Up to 5 years",216,43,41.6,44.4,"0.529",48.1,47,49.1,"0.869"
"","6-10 years",174,42.9,41.1,44.6,"",47.9,46.7,49.1,""
"","10+ years",192,42.3,40.8,43.9,"",47.9,46.8,49,""
"Number of other CVD conditions","0",357,44.3,43.3,45.4,"<0.001",47.6,46.8,48.4,"0.301"
"","1",147,41.3,39.5,43.1,"",48.7,47.4,50,""
"","2+",83,37.8,35.3,40.3,"",48.2,46.4,49.9,""
"Number of clinical CVD risk factors","0-1",133,44.3,42.5,46.1,"0.021",47.7,46.3,49.1,"0.567"
"","2",215,42.9,41.5,44.3,"",48.6,47.6,49.7,""
"","3+",239,41.6,40.1,43,"",47.5,46.5,48.5,""
